nummer,name,geschlecht,verein,geburtsjahr
640,Chloé Lemoine,w,Neptun Köln,2013
641,Tom O'Connor,m,,2006
642,Paul Šimić,w,SV Poseidon,
643,Mārtiņš Bērziņš,m,,
644,Chloé Lemoine,m,,2011
645,Jiří Novák,m,TSV Schwimmclub,
646,Noah Zhang,m,,
647,Chloé Lemoine,w,SV Poseidon,
648,Chloé Lemoine,w,SV Poseidon,
649,Ben Müller,m,SV Delphin,2006
650,Džesika Kalniņa,m,Delphin 08,
651,Anna-Lena Schneider,m,Delphin 08,
652,Emma-Maria Krüger,w,SV Delphin,2013
653,Jiří Novák,w,,
654,Ben Müller,w,SV Poseidon,
655,Lina Schneider,m,Neptun Köln,2008
656,Chloé Lemoine,m,SV Delphin,2007
657,Tom O'Connor,w,SV Poseidon,
658,Tom O'Connor,m,Neptun Köln,
659,Mārtiņš Bērziņš,m,SV Poseidon,
660,Noah Zhang,w,,
661,Tim Méndez,m,Neptun Köln,
662,Åsa Svensson,m,Wasserfreunde,
663,Åsa Svensson,m,SV Poseidon,2006
664,Noah Zhang,m,Delphin 08,
665,Noah Zhang,m,,
666,Léa Dubois,w,Wasserfreunde,2008
667,Maximilian,w,TSV Schwimmclub,
668,Anna-Lena Schneider,m,SV Delphin,
669,Léa Dubois,w,SV Poseidon,
670,Mia Méndez,m,Neptun Köln,2013
671,Anna-Lena Schneider,w,,2007
672,Ben Müller,w,SV Delphin,
673,Maximilian,w,Delphin 08,2011
674,Mārtiņš Bērziņš,m,SV Poseidon,
675,Åsa Svensson,w,,2006
676,Mia Méndez,w,Delphin 08,
677,Clàra Méndez,w,Delphin 08,2011
678,Ben Müller,m,,2007
679,Anna-Lena Schneider,m,TSV Schwimmclub,
680,Chloé Lemoine,m,SV Poseidon,2010
681,Ole-Jørgen Berg,w,SV Delphin,2009
682,Paul Šimić,m,SV Delphin,2013
683,Emma Müller,m,Neptun Köln,
684,José García,w,Delphin 08,
685,Lina Schneider,m,Delphin 08,
686,Emma Müller,m,Neptun Köln,2008
687,Džesika Kalniņa,m,SV Delphin,2011
688,Emma-Maria Krüger,w,Delphin 08,2010
689,László Nagy,w,,2012
690,Tom O'Connor,m,SV Poseidon,2011
691,Lina Schneider,w,SV Poseidon,
692,Emma Müller,m,SV Delphin,2009
693,Mia Méndez,w,SV Delphin,
694,José García,w,TSV Schwimmclub,
695,José García,w,,
696,José García,m,,
697,Ole-Jørgen Berg,w,SV Delphin,
698,Chloé Lemoine,w,Delphin 08,
699,László Nagy,m,SV Poseidon,2010
700,Lisa Weiß,w,,
701,Lina Schneider,m,Neptun Köln,
702,Clara Zhang,m,Wasserfreunde,
703,Chloé Lemoine,w,Wasserfreunde,
704,Maximilian,m,SV Poseidon,2013
705,Lisa Weiß,m,SV Delphin,
706,Mārtiņš Bērziņš,w,SV Delphin,2010
707,Džesika Kalniņa,m,Neptun Köln,2007
708,Emma-Maria Krüger,w,,2010
709,Lina Schneider,m,Wasserfreunde,2009
710,Clara Zhang,m,Wasserfreunde,
711,Noah Zhang,m,Delphin 08,2010
712,Åsa Svensson,w,SV Poseidon,
713,Léa Dubois,w,SV Poseidon,
714,Chloé Lemoine,w,SV Poseidon,
715,Zoë Schmidt,w,SV Delphin,2006
716,Mia Méndez,m,TSV Schwimmclub,2010
717,Džesika Kalniņa,w,Wasserfreunde,
718,Ole-Jørgen Berg,m,SV Poseidon,
719,Lina Schneider,m,SV Poseidon,2013
720,Mārtiņš Bērziņš,w,Wasserfreunde,2006
721,Ben Müller,m,Wasserfreunde,
722,Tim Méndez,w,,2008
723,Åsa Svensson,w,SV Poseidon,2007
724,Paul Šimić,m,Neptun Köln,2010
725,Maximilian,w,Neptun Köln,
726,László Nagy,w,Delphin 08,
727,Tim Méndez,m,SV Delphin,
728,José García,w,Delphin 08,
729,José García,m,TSV Schwimmclub,
730,Emma-Maria Krüger,w,TSV Schwimmclub,
731,Lisa Weiß,m,SV Poseidon,
732,Åsa Svensson,m,Neptun Köln,
733,Åsa Svensson,m,Wasserfreunde,
734,Anna-Lena Schneider,m,TSV Schwimmclub,2011
735,Clara Zhang,m,,2008
736,Emma Müller,m,,
737,Clàra Méndez,m,Wasserfreunde,2008
738,Maximilian,m,SV Poseidon,2006
739,László Nagy,w,Wasserfreunde,2008
740,Ole-Jørgen Berg,m,Neptun Köln,2007
741,Anna-Lena Schneider,m,Neptun Köln,2012
742,Ole-Jørgen Berg,m,SV Poseidon,2012
743,Emma-Maria Krüger,w,Delphin 08,
744,Ole-Jørgen Berg,m,Delphin 08,2012
745,Noah Zhang,w,TSV Schwimmclub,2012
746,Ben Müller,m,SV Delphin,2009
747,Maximilian,m,Neptun Köln,
748,Džesika Kalniņa,m,,
749,Léa Dubois,w,SV Delphin,
750,Clara Zhang,m,SV Delphin,2006
751,Clàra Méndez,m,SV Delphin,2011
752,Mārtiņš Bērziņš,m,SV Poseidon,2006
753,José García,m,SV Delphin,2008
754,Zoë Schmidt,m,SV Poseidon,2009
755,Clara Zhang,m,SV Delphin,
756,Paul Šimić,m,TSV Schwimmclub,
757,Ole-Jørgen Berg,w,Wasserfreunde,2006
758,László Nagy,m,SV Poseidon,2008
759,Anna-Lena Schneider,w,SV Poseidon,
760,Tim Méndez,w,TSV Schwimmclub,2007
761,Emma Müller,m,Delphin 08,
762,Ole-Jørgen Berg,m,Neptun Köln,
763,Jiří Novák,m,SV Poseidon,
764,Paul Šimić,w,SV Delphin,
765,Anna-Lena Schneider,m,,
766,Tim Méndez,m,Neptun Köln,2009
767,Ben Müller,m,Delphin 08,2011
768,Mārtiņš Bērziņš,w,Wasserfreunde,
769,Zoë Schmidt,m,Delphin 08,
770,Lina Schneider,w,Wasserfreunde,
771,Ole-Jørgen Berg,w,Wasserfreunde,2010
772,Paul Šimić,m,SV Delphin,
773,Ben Müller,m,,2007
774,Emma Müller,m,SV Poseidon,2011
775,Tim Méndez,w,SV Delphin,
776,Mia Méndez,w,,2010
777,Mia Méndez,m,Neptun Köln,
778,László Nagy,m,,2006
779,Emma Müller,w,SV Delphin,2013
780,Ole-Jørgen Berg,m,Neptun Köln,
781,Jiří Novák,w,SV Poseidon,2007
782,Tim Méndez,w,,2012
783,Clàra Méndez,w,SV Poseidon,
784,Ole-Jørgen Berg,w,Wasserfreunde,
785,Noah Zhang,m,Wasserfreunde,2012
786,Ole-Jørgen Berg,w,Wasserfreunde,
787,Jiří Novák,m,SV Poseidon,
788,José García,w,SV Delphin,
789,Maximilian,m,,2010
790,Tim Méndez,m,Wasserfreunde,
791,Zoë Schmidt,m,Neptun Köln,2011
792,Emma Müller,m,SV Poseidon,2007
793,Ben Müller,m,Wasserfreunde,
794,Emma-Maria Krüger,m,SV Delphin,2008
795,Noah Zhang,m,,
796,Paul Šimić,m,SV Poseidon,
797,Clàra Méndez,w,TSV Schwimmclub,2007
798,László Nagy,w,SV Delphin,2007
799,Lisa Weiß,m,Delphin 08,2007
800,Mārtiņš Bērziņš,m,SV Poseidon,2008
801,Ole-Jørgen Berg,m,TSV Schwimmclub,2011
802,Clara Zhang,m,Wasserfreunde,
803,Ben Müller,w,SV Delphin,2011
804,Tim Méndez,w,TSV Schwimmclub,2012
805,Zoë Schmidt,w,Wasserfreunde,2010
806,Chloé Lemoine,w,SV Delphin,2008
807,Maximilian,w,Neptun Köln,2010
808,Chloé Lemoine,m,SV Delphin,
809,Mia Méndez,m,Neptun Köln,2011
810,Léa Dubois,w,TSV Schwimmclub,2012
811,Clàra Méndez,m,SV Delphin,2006
812,Ben Müller,m,SV Delphin,
813,Ben Müller,w,Delphin 08,2011
814,Clàra Méndez,w,,
815,Maximilian,m,SV Poseidon,2006
816,Ben Müller,w,SV Poseidon,2006
817,Maximilian,w,,2009
818,Jiří Novák,w,SV Delphin,
819,Džesika Kalniņa,m,Delphin 08,2013
820,Ole-Jørgen Berg,w,Neptun Köln,
821,Emma Müller,m,SV Delphin,
822,Tim Méndez,m,Delphin 08,2008
823,José García,w,Neptun Köln,2009
824,Chloé Lemoine,m,,
825,Jiří Novák,m,Delphin 08,
826,Noah Zhang,w,SV Poseidon,
827,Mārtiņš Bērziņš,w,Neptun Köln,
828,Chloé Lemoine,w,TSV Schwimmclub,
829,Mārtiņš Bērziņš,w,TSV Schwimmclub,2008
830,Emma Müller,m,TSV Schwimmclub,2011
831,Tom O'Connor,m,SV Poseidon,
832,Lisa Weiß,w,Neptun Köln,
833,Clara Zhang,w,TSV Schwimmclub,2012
834,Zoë Schmidt,m,,2013
835,László Nagy,m,SV Poseidon,2012
836,Léa Dubois,w,Wasserfreunde,
837,László Nagy,w,Wasserfreunde,
838,Džesika Kalniņa,w,Neptun Köln,
839,Léa Dubois,w,SV Delphin,
840,Paul Šimić,w,,2010
841,Chloé Lemoine,m,,
842,Jiří Novák,m,Neptun Köln,
843,Chloé Lemoine,w,Delphin 08,2006
844,Clàra Méndez,w,SV Poseidon,
845,Zoë Schmidt,w,Neptun Köln,
846,Tom O'Connor,w,Delphin 08,
847,Emma-Maria Krüger,m,SV Delphin,
848,Ben Müller,w,Neptun Köln,2013
849,Tim Méndez,w,TSV Schwimmclub,
850,László Nagy,w,Wasserfreunde,2008
851,Jiří Novák,m,,2007
852,Mia Méndez,m,,
853,Clara Zhang,m,Neptun Köln,2008
854,Noah Zhang,m,Neptun Köln,2013
855,Mārtiņš Bērziņš,m,Delphin 08,2008
856,László Nagy,w,SV Delphin,
857,Léa Dubois,m,Delphin 08,2013
858,Léa Dubois,m,,2011
859,Tim Méndez,m,Delphin 08,2008
860,Lisa Weiß,m,TSV Schwimmclub,
861,Noah Zhang,m,Delphin 08,
862,Ole-Jørgen Berg,m,,
863,Jiří Novák,m,SV Delphin,
864,Džesika Kalniņa,m,,2012
865,Lina Schneider,w,TSV Schwimmclub,2011
866,Lisa Weiß,w,Neptun Köln,2013
867,László Nagy,w,Neptun Köln,2010
868,Mia Méndez,m,SV Delphin,2009
869,Léa Dubois,m,Neptun Köln,2007
870,Clàra Méndez,m,SV Delphin,2011
871,Ben Müller,w,,
872,Anna-Lena Schneider,m,Wasserfreunde,2009
873,Léa Dubois,m,Wasserfreunde,
874,Chloé Lemoine,w,Neptun Köln,2008
875,Paul Šimić,m,SV Poseidon,
876,Åsa Svensson,m,,2008
877,Zoë Schmidt,m,SV Poseidon,
878,Paul Šimić,w,Wasserfreunde,
879,Jiří Novák,m,TSV Schwimmclub,
880,José García,m,Wasserfreunde,2013
881,Lina Schneider,w,Wasserfreunde,
882,Åsa Svensson,w,Neptun Köln,
883,Paul Šimić,m,Delphin 08,2013
884,Jiří Novák,w,Wasserfreunde,2012
885,Maximilian,w,,
886,Maximilian,m,Wasserfreunde,
887,Paul Šimić,w,TSV Schwimmclub,2012
888,Mārtiņš Bērziņš,w,Wasserfreunde,2010
889,Anna-Lena Schneider,m,TSV Schwimmclub,2011
890,Åsa Svensson,w,,
891,Mārtiņš Bērziņš,w,TSV Schwimmclub,
892,László Nagy,w,Delphin 08,
893,Mia Méndez,m,Delphin 08,2008
894,Emma-Maria Krüger,m,TSV Schwimmclub,
895,Džesika Kalniņa,m,SV Poseidon,
896,Ben Müller,m,Delphin 08,
897,Chloé Lemoine,m,Neptun Köln,2013
898,Anna-Lena Schneider,m,SV Delphin,2008
899,Clara Zhang,w,Wasserfreunde,2009
900,Džesika Kalniņa,w,TSV Schwimmclub,2013
